100kav900,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,454,,,,
1D,415,390,374,489,524
2D,1384,1297,1397,1697,1718
Invasive,1450,1507,1306,1422,1403
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,452,,,,
1D,422,390,338,499,548
2D,1383,1335,1568,1707,1745
Invasive,1446,1508,1247,1351,1385
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,450,,,,
1D,422,392,357,493,544
2D,1384,1313,1466,1701,1741
Invasive,1448,1506,1250,1385,1370
,,,,,

Fastest Run,,,,,
Seriell,450,,,,
1D,415,390,338,489,524
2D,1383,1297,1397,1697,1718
Invasive,1446,1506,1247,1351,1370
,,,,,
Average Time,,,,,
Seriell,452,,,,
1D,419.67,390.67,356.33,493.67,538.67
2D,1383.67,1315,1477,1701.67,1734.67
Invasive,1448,1507,1267.67,1386,1386
