av1000,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,498,,,,
1D,453,402,375,514,569
2D,1526,1516,1487,1782,1944
Invasive,1611,1663,1348,1476,1504
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,502,,,,
1D,452,472,390,525,589
2D,1533,1476,1581,1787,1814
Invasive,1612,1668,1332,1517,1480
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,498,,,,
1D,451,408,396,507,611
2D,1532,1475,1519,1827,1877
Invasive,1612,1665,1305,1580,1507
,,,,,

Fastest,,,,,
Seriell,498,,,,
1D,451,402,375,507,569
2D,1526,1475,1487,1782,1814
Invasive,1611,1663,1305,1476,1480
,,,,,
Average,,,,,
Seriell,499.33,,,,
1D,452,427.33,387,515.33,589.67
2D,1530.33,1489,1529,1798.67,1878.33
Invasive,1611.67,1665.33,1328.33,1524.33,1497
