100kav100,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,79,,,,
1D,118,95,108,186,220
2D,234,233,327,343,541
Invasive,225,252,208,266,315
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,82,,,,
1D,117,124,98,184,271
2D,234,231,385,333,486
Invasive,232,244,207,276,295
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,79,,,,
1D,114,107,96,180,228
2D,235,240,662,381,456
Invasive,231,207,199,279,290
,,,,,

Fastest Run,,,,,
Seriell,79,,,,
1D,114,95,96,180,220
2D,234,231,327,333,456
Invasive,225,207,199,266,290
,,,,,
Average Time,,,,,
Seriell,80,,,,
1D,116.33,108.67,100.67,183.33,239.67
2D,234.33,234.67,458,352.33,494.33
Invasive,229.33,234.33,204.67,273.67,300
