100kav500,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,275,,,,
1D,263,235,226,351,382
2D,808,871,810,995,1089
Invasive,845,909,683,840,863
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,265,,,,
1D,261,235,224,337,396
2D,809,773,912,1064,1113
Invasive,844,874,709,808,818
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,269,,,,
1D,262,234,221,328,438
2D,808,844,895,1047,1121
Invasive,845,795,740,818,814
,,,,,

Fastest Run,,,,,
Seriell,265,,,,
1D,261,234,221,328,382
2D,808,773,810,995,1089
Invasive,844,795,683,808,814
,,,,,
Average Time,,,,,
Seriell,269.67,,,,
1D,262,234.67,223.67,338.67,405.33
2D,808.33,829.33,872.33,1035.33,1107.67
Invasive,844.67,859.33,710.67,822,831.67
