100kav1500,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,727,,,,
1D,648,722,546,742,782
2D,2253,2056,2462,2631,2694
Invasive,2349,2448,1935,2242,2137
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,728,,,,
1D,643,746,551,711,768
2D,2247,2161,2235,2613,2680
Invasive,2408,2452,1965,2269,2207
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,736,,,,
1D,644,602,562,737,746
2D,2251,2058,2470,2660,2749
Invasive,2358,2443,1958,2212,2162
,,,,,

Fastest Run,,,,,
Seriell,727,,,,
1D,643,602,546,711,746
2D,2247,2056,2235,2613,2680
Invasive,2349,2443,1935,2212,2137
,,,,,
Average Time,,,,,
Seriell,730.33,,,,
1D,645,690,553,730,765.33
2D,2250.33,2091.67,2389,2634.67,2707.67
Invasive,2371.67,2447.67,1952.67,2241,2168.67
