100kav700,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,355,,,,
1D,345,319,301,404,509
2D,1098,1078,1155,1344,1375
Invasive,1139,1193,968,1093,1144
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,361,,,,
1D,340,326,290,404,447
2D,1096,1052,1172,1418,1414
Invasive,1149,1191,955,1077,1131
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,360,,,,
1D,340,345,303,409,468
2D,1098,1124,1126,1286,1518
Invasive,1146,1196,949,1076,1128
,,,,,

Fastest Run,,,,,
Seriell,355,,,,
1D,340,319,290,404,447
2D,1096,1052,1126,1286,1375
Invasive,1139,1191,949,1076,1128
,,,,,
Average Time,,,,,
Seriell,358.67,,,,
1D,341.67,330,298,405.67,474.67
2D,1097.33,1084.67,1151,1349.33,1435.67
Invasive,1144.67,1193.33,957.33,1082,1134.33
