100kav800,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,410,,,,
1D,390,353,326,460,524
2D,1241,1190,1337,1535,1718
Invasive,1288,1351,1093,1225,1263
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,400,,,,
1D,379,352,348,454,526
2D,1242,1224,1233,1469,1644
Invasive,1333,1350,1190,1254,1214
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,401,,,,
1D,376,352,320,456,529
2D,1239,1272,1313,1554,1548
Invasive,1306,1349,1108,1245,1238
,,,,,

Fastest Run,,,,,
Seriell,400,,,,
1D,376,352,320,454,524
2D,1239,1190,1233,1469,1548
Invasive,1288,1349,1093,1225,1214
,,,,,
Average Time,,,,,
Seriell,403.67,,,,
1D,381.67,352.33,331.33,456.67,526.33
2D,1240.67,1228.67,1294.33,1519.33,1636.67
Invasive,1309,1350,1130.33,1241.33,1238.33
