,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,382,,,,
1D,366,204,176,226,320
2D,1225,842,584,563,768
Invasive,1232,1267,526,543,552
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,381,,,,
1D,366,205,346,229,303
2D,1225,831,647,648,728
Invasive,1229,1290,500,528,559
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,383,,,,
1D,366,340,184,240,353
2D,1189,732,534,587,653
Invasive,1228,1265,505,516,543
,,,,,

Fastest Run,,,,,
Seriell,381,,,,
1D,366,204,176,226,303
2D,1189,732,534,563,653
Invasive,1228,1265,500,516,543
,,,,,
Average Time,,,,,
Seriell,382,,,,
1D,366,249.67,235.33,231.67,325.33
2D,1213,801.67,588.33,599.33,716.33
Invasive,1229.67,1274,510.33,529,551.33
